id,created_at,text
855117489826521090,2017-04-20 17:54:31,Talkin with @DrOz today about my current favorite subject.. #HenriettaLacks on @HBO this Saturday. https://t.co/ssnGE2i5Im
854784173248323586,2017-04-19 19:50:02,"@TheEllenShow Yes , @TheEllenShow so glad I had my phone on."
854780923128053760,2017-04-19 19:37:07,RT @TheEllenShow: I texted @Oprah in the middle of my show today. Watch. #LaughDancePartner https://t.co/HnRcgL86Zb
853639179074285568,2017-04-16 16:00:14,@PrinceEa Bravo! Bravo!  #SuperSoulSunday https://t.co/7k9PqJk5P3
853633619511791616,2017-04-16 15:38:09,"""You can't be an extension of a heart you don't honor"".. @RealJohnGray #SuperSoulSunday https://t.co/jlFXpW3ZUm"
853629976653873154,2017-04-16 15:23:40,""" you are spoken into the earth"" Thanks @RealJohnGray #SuperSoulSunday"
853629175638368256,2017-04-16 15:20:29,Joy disarms the broken heart. Thanks @RealJohnGray #SuperSoulSunday
853628850281922563,2017-04-16 15:19:12,@TraceyWJZ @cbsbaltimore WJZtv so many memories! #HappyEaster
853628472043765760,2017-04-16 15:17:42,@jodisjoy @RealJohnGray So agree that @RealJohnGray is authentically powerful! #SuperSoulSunday
853624248614572036,2017-04-16 15:00:55,Hey Super Soulers let's reunite.#SuperSoulSunday
853437982983954432,2017-04-16 02:40:45,@kraziideafgurl Double Amen! #bookofJohn
853437841509982208,2017-04-16 02:40:12,@3LWTV @RealJohnGray @OWNTV He's so Real yet profound . @RealJohnGray #BookOfJohn
853436089612222464,2017-04-16 02:33:14,@OWNTVFans @OWNTV  https://t.co/OeoOCQgSuH
853428767141748737,2017-04-16 02:04:08,Ready for #BookofJohn y'all!
853423014528008192,2017-04-16 01:41:17,"""You cannot heal what you will not speak"". Thank u for reminding us @IyanlaVanzant #FixMyLife"
853422344177467392,2017-04-16 01:38:37,"@IyanlaVanzant I think this is profoundly moving T.V.  ""This is what depression looks like"".. #FixMyLife"
853419920134033408,2017-04-16 01:28:59,"Shelby father at 12 and molested ! Whoa! @IyanlaVanzant  Heal On!
#FixMyLife"
853418099030106112,2017-04-16 01:21:45,NObody like Iyanla #FixMyLife
853417401643225089,2017-04-16 01:18:58,"You are director of the Drama, speak Iyanla. #FixMyLife"
853417069852872704,2017-04-16 01:17:39,@wendelltalking @OWNTV @IyanlaVanzant I appreciated that line too. #FixMyLife
853416790222819328,2017-04-16 01:16:33,@kofisiriboe Hi .. you already have my number. How's films ng going?
853399685385469952,2017-04-16 00:08:35,RT @ALLISONSMILES: Tune in early and catch #LotteryDrama! Get ready for @OWNTV #FixMyLife Season 5! Guess who's back? @IyanlaVanzant 9p/8c…
853399460432330752,2017-04-16 00:07:41,"@3LWTV @DeepakChopra Cool pic, meditating. Where are you?"
853254104105205761,2017-04-15 14:30:05,When I met @RealJohnGray I could feel right away he was special. He’s definitely NOT your daddy’s preacher.… https://t.co/bRRBRLwTg8
852974763483906048,2017-04-14 20:00:05,"The Master Fixer, @IyanlaVanzant returns for another fired up season! https://t.co/6Bvyd2eNgT"
852891704029884421,2017-04-14 14:30:02,"I want everyone to know the impact Henrietta Lacks has made on the world. The Immortal Life of Henrietta Lacks, Apr… https://t.co/680gMOmhpf"
852662619370471424,2017-04-13 23:19:44,We're back Sweeties 💚See you all June 20th &amp; 21st https://t.co/lSDH1IWd5l
852270974590373888,2017-04-12 21:23:29,RT @GreenleafOWN: Can’t wait for more #Greenleaf? Fill the time with this new #Greenleaf level on our hit game @BoldMovesOWN! https://t.co/…
852222546388725760,2017-04-12 18:11:03,RT @people: The countdown to PEOPLE’s World’s #MostBeautiful 2017 is on! Today’s Beauty of the Day is … @Oprah! https://t.co/QthZZmDv0I htt…
852219165301547008,2017-04-12 17:57:37,"Greenleafers, see you for the tweet party tonight! 10/9c 🔥🌿 https://t.co/42EtMzfdsv"
849784427307597824,2017-04-06 00:42:50,@AshBenton this was my favorite message tonight! #HENRIETTALACKS
849784165138432001,2017-04-06 00:41:47,Thanks all for being on the call. #HenriettaLacks
849783877748924416,2017-04-06 00:40:39,RT @cherylaction: Experience an elevated experience in the comfort of your home watch the immortal life of #HENRIETTALACKS  on April 22 on…
849693215930241025,2017-04-05 18:40:23,Greenleafers...things are getting HOT in this church. Watch with me tonight at 10/9c. https://t.co/7uAdQW4OIj
849285992271958017,2017-04-04 15:42:14,Sweet memories. Happy Birthday Maya! https://t.co/oU4aIVbkXj
847508901859704837,2017-03-30 18:00:42,Greenleafers..things are getting too hot to miss! Catch up on all #Greenleaf episodes now https://t.co/AHByrPM9Bg https://t.co/x0R10oedW5
847289295056523264,2017-03-30 03:28:04,"@lesiaminor you're right  @LoniLove, @TheEricaAsh are 😂#OWNTonight"
847284978060677120,2017-03-30 03:10:55,"@LoniLove so agree with y'all on the Darius , Grace shoulda been a Real kiss. #OwnTonight"
847279077849300994,2017-03-30 02:47:28,"Mama Knows.. ""There it is"" #Greenleaf"
847275283577159685,2017-03-30 02:32:23,RT @i_speak16: Charity's hair is everything! @DeborahJWinans #Greenleaf
