id,created_at,text
855196302371508224,2017-04-20 23:07:41,RT @Hundred_Handed: https://t.co/cMZ7kCMjkO
855195171696263168,2017-04-20 23:03:12,RT @TheDrPhilShow: Why does Steve say he wants to terminate parental rights for his 12-year-old daughter? #DrPhil https://t.co/53sZLnjhVd
855180820549586944,2017-04-20 22:06:10,"RT @TheDrPhilShow: ""At one point, she was my pride and joy."" #DrPhil https://t.co/qom9Gk3uT9"
855160155066966016,2017-04-20 20:44:03,"RT @TheDrPhilShow: What does Steve, who denies any wrongdoing, say about the allegations? #DrPhil https://t.co/twVy55HuP0"
855134426031730688,2017-04-20 19:01:49,RT @TheDrPhilShow: Robyn claims Steve is a “deadbeat” dad who is trying to get out of paying child support. #DrPhil https://t.co/KmdCB7Woqq
855123756926222336,2017-04-20 18:19:25,RT @Robin_McGraw: It was an honor to meet @DeepakChopra! https://t.co/65ciRkbSzs
855119779706753024,2017-04-20 18:03:37,RT @TheDrPhilShow: .@AARP travel expert Stephanie Miles gives two easy tips to break out of a work-a-holic routine. https://t.co/dyW8eKGAss
855105119112658944,2017-04-20 17:05:22,RT @TheDrPhilShow: Steve completely denies Robyn’s allegations and says an investigation cleared him. #DrPhil https://t.co/WywnoikeQq
855091994091061248,2017-04-20 16:13:12,RT @TheDrPhilShow: Estate management attorney @mylawyerann offers advice for protecting yourself financially. https://t.co/fdZAI1P0PI
855079513700442112,2017-04-20 15:23:37,RT @TheDrPhilShow: “Robyn is turning my life into a living hell.” #DrPhil https://t.co/sgpCyCDSdj
855079504619782144,2017-04-20 15:23:35,"RT @TheDrPhilShow: Steve and his fiancée, Jen, claim his ex coached his 12-year-old daughter to falsely accuse him of sexual abuse. https:/…"
854900012471513088,2017-04-20 03:30:20,Self matters action plan: https://t.co/6fcyjVObIZ https://t.co/M209dCHfdw
854877410193539072,2017-04-20 02:00:32,Is control a problem in your #relationship? https://t.co/5W2YN3Gr5V
854840027154493441,2017-04-19 23:31:59,"RT @TheDrPhilShow: What qualifications does Cheryl say make a therapist ""credible""? #DrPhil https://t.co/5MsV6YbyLN"
854825063903666176,2017-04-19 22:32:31,RT @TheDrPhilShow: Stefanie claims her mother gets upset if she does anything without her. https://t.co/kW8WlLhYq7 #DrPhil
854810706482348033,2017-04-19 21:35:28,"RT @TheDrPhilShow: Michael says that he doesn't have a drinking problem, takes college classes, and works part-time. https://t.co/lHFYQ4ANO…"
854797679343226880,2017-04-19 20:43:42,RT @TheDrPhilShow: Why does Michael claim Cheryl feels threatened by him? https://t.co/qmDwA135qJ #DrPhil
854751262197202944,2017-04-19 17:39:16,RT @TheDrPhilShow: Cheryl claims Stefanie is being “brainwashed” by her boyfriend. #DrPhil https://t.co/Rf3D1zNHha https://t.co/VEV05Algu9
854735144296607744,2017-04-19 16:35:13,Be proud to be you! #WednesdayWisdom #qotd https://t.co/Kbz5Sln0r6
854731945669869568,2017-04-19 16:22:30,"RT @TheDrPhilShow: ""When I take the stage – I want to be flawless!” https://t.co/8lwxxr6viL"
854709132170940416,2017-04-19 14:51:51,RT @TheDrPhilShow: Stefanie claims her mother tries to run her life. https://t.co/h7Zh602XvS #DrPhil
854709109337112577,2017-04-19 14:51:46,RT @TheDrPhilShow: Stefanie says she believes her mom is guilty of “emotional incest.” https://t.co/G7CnsfXqmy https://t.co/O0QWvkSj14
854536298345967619,2017-04-19 03:25:04,"If you can't answer “yes” to all of these questions, there’s a gap between you and your teen. https://t.co/lHOqXdYLhW #Parenting"
854515038161436672,2017-04-19 02:00:35,Tell the truth or don’t say anything at all. https://t.co/1Ee6w1lJzj #ParentingAdvice
854507429614284801,2017-04-19 01:30:21,Are you annoyed by someone who can’t make a simple move in life w/o consulting his/her parent? Tell us your story:… https://t.co/SPi06O8uL1
854494587120832512,2017-04-19 00:39:19,"RT @TheDrPhilShow: “There’s really no way to sugar coat what’s at stake here."" https://t.co/ZFTGnG1cmR"
854472774491844608,2017-04-18 23:12:39,"RT @TheDrPhilShow: ""You guys are just sabotaging each other."" https://t.co/qQJvlAqdBX #DrPhil"
854454714921910272,2017-04-18 22:00:53,RT @TheDrPhilShow: What does Ingrid say almost caused her to have a change of heart? https://t.co/M7QcX5sfJ3
854443679603318784,2017-04-18 21:17:02,RT @Robin_McGraw: We hope everyone had a happy and love filled time with family and friends this Easter! https://t.co/4fMlurjpY9
854432324989009920,2017-04-18 20:31:55,RT @TheDrPhilShow: “I said something I shouldn’t have said.” https://t.co/692TXqPXZF #DrPhil
854407776969162752,2017-04-18 18:54:22,RT @BullCBS: Jules Caffrey needs to trust in Dr. Bull's process. Here's a sneak peek at tonight's #Bull with guest star @IWashington. https…
854402239619678208,2017-04-18 18:32:22,RT @TheDrPhilShow: Samantha says she’s taking care of herself but her mom claims she doesn’t follow her medical regimen. https://t.co/CufoK…
854379008762368000,2017-04-18 17:00:03,.@WayneBrady shares his journey with #depression in an exclusive interview with @Pfizer's Dr. Freda Lewis-Hall:… https://t.co/93TeB4UDIu
854378243213766657,2017-04-18 16:57:01,RT @Robin_McGraw: Family....where love begins and stays..forever and ever. These smiles are priceless! https://t.co/Oib6w7SoIX
854358986136576001,2017-04-18 15:40:30,RT @TheDrPhilShow: Why does Samantha say she has a contentious relationship with her mother? https://t.co/jNiXO6fY9I #DrPhil
854347734211371008,2017-04-18 14:55:47,RT @TheDrPhilShow: Krystina says raising her daughter has been a struggle since she was a teenager. https://t.co/COUop8EIyX #DrPhil
854347714422648832,2017-04-18 14:55:42,RT @TheDrPhilShow: Krystina fears her 19-year-old pregnant daughter’s negligence will disable her baby: https://t.co/yTY3jLETHC #DrPhil htt…
854152602648539136,2017-04-18 02:00:24,How to communicate with emotional integrity: https://t.co/u2Gv9Yt5T9 https://t.co/9lGQjA2E8M
854131133386293249,2017-04-18 00:35:05,10 simple things we can do to improve race relations: https://t.co/XP6WNiAdG3 https://t.co/Bh6ohOUPPE
854120079289495552,2017-04-17 23:51:10,RT @TheDrPhilShow: “Race is a lie.” https://t.co/ftAYg7NrVS #DrPhil
854105666390179840,2017-04-17 22:53:54,"RT @TheDrPhilShow: Dolezal says she has a hard time taking responsibility for the scandal that exposed her as a “race faker."" https://t.co/…"
854090170986934274,2017-04-17 21:52:19,RT @TheDrPhilShow: Dolezal asserts that she sees race as “a social construct.” https://t.co/4MDVHyrUCU #DrPhil
854074200394350592,2017-04-17 20:48:51,RT @TheDrPhilShow: Dolezal's parents gave multiple media interviews about their daughter’s biological origins. https://t.co/YdNqqAGfW3 #DrP…
854072444331597824,2017-04-17 20:41:53,RT @TheDrPhilShow: Does your spouse have small habits that annoy you in a big way? Tell us your story: https://t.co/zdSGmuF0yr #DrPhil http…
854039720384274432,2017-04-17 18:31:51,RT @BullCBS: Isaiah Washington guest stars on tomorrow's all-new #Bull. Here's your first look: https://t.co/TPpNcw83yF https://t.co/xNAD5s…
854032391484039170,2017-04-17 18:02:43,RT @TheDrPhilShow: “I represent myself to be who I am.” https://t.co/ZsSLnn0Q82 #DrPhil
