id,created_at,text
844349864205045761,2017-03-22 00:47:49,President Trump is all-in to #RepealAndReplace #Obamacare. ← Retweet if you are too. https://t.co/joqRxlTg3H
844317532022591489,2017-03-21 22:39:20,Seven years of this failed experiment is enough. It's time to #RepealAndReplace this disastrous law. #PassTheBill… https://t.co/goXYv0FYRj
844313421944377345,2017-03-21 22:23:01,RT @cathymcmorris: Americans deserve immediate relief from Obamacare #PassTheBill https://t.co/AtLx2YXd2x
844308864237518848,2017-03-21 22:04:54,RT @HaiderAlAbadi: Good to meet with @SpeakerRyan earlier today at the Capitol. Iraq looks forward to continued support from US Congress in…
844303887691665410,2017-03-21 21:45:07,RT @SecPriceMD: We’re taking action to stabilize the individual and small group health markets so they work better for everyone.
844299046068129793,2017-03-21 21:25:53,"This week, the House will also vote to eliminate anti-trust protections for insurance providers. https://t.co/6G3XUhh48j"
844295175606292480,2017-03-21 21:10:30,"RT @GOPLeader: #ICYMI: Last night, House Republicans took additional action to strengthen the American Health Care Act. #PassTheBill https:…"
844291296596496384,2017-03-21 20:55:05,"RT @MikeKellyPA: Unlike Obamacare, the conservative plan to #RepealAndReplace it will be guided by #ProLife principles. https://t.co/MuwFNP…"
844285565549842443,2017-03-21 20:32:19,"Today, I had the pleasure to host a bipartisan meeting with Iraqi Prime Minister @HaiderAlAbadi.… https://t.co/TSssiollNk"
844275516312117248,2017-03-21 19:52:23,"Health Savings Accounts, or HSAs, are a longtime staple of conservative health care reform. https://t.co/5aVXYXCebh"
844274413176537088,2017-03-21 19:48:00,RT @RepTomGraves: The House is passing Phase 1 of @POTUS #ProLife healthcare plan Thursday! #AHCA #PassTheBill https://t.co/D5UatrLss4
844268509194584064,2017-03-21 19:24:32,"RT @EdWorkforce: Providing a #BetterWay on health care for #smallbiz, working families: https://t.co/RxXBFoMGQf"
844260851158847489,2017-03-21 18:54:07,Our legislation is designed to ensure America's most vulnerable patients get the care they need and deserve. https://t.co/OjwtAnTUvH
844258324694679552,2017-03-21 18:44:04,"RT @HouseGOP: ""@POTUS is all in, and we are all in to #RepealAndReplace #obamacare.""-
@SpeakerRyan"
844253691876163584,2017-03-21 18:25:40,"RT @RepJasonLewis: Important improvements to the AHCA, including more support for our seniors!
#MN02 https://t.co/3jCtX1d05l"
844250093020741632,2017-03-21 18:11:22,RT @POTUS: Joined the @HouseGOP Conference this morning at the U.S. Capitol. https://t.co/5kRYOAIaCY #PassTheBill #MAGA🇺🇸https://t.co/FPttI…
844246163473780737,2017-03-21 17:55:45,FACT: The American Health Care Act restores pro-life principles to our health care system. #PassTheBill… https://t.co/tUYrTxIVSy
844241292502716416,2017-03-21 17:36:24,"You should buy what you want to buy, not what the government makes you buy. American Health Care Act ensures that. https://t.co/AfHa69GwOG"
844237451593945088,2017-03-21 17:21:08,"RT @RepJackBergman: This isn't about partisan politics. It's about keeping promises, showing leadership, and preventing Obamacare collapse.…"
844227890120134658,2017-03-21 16:43:08,"With this amendment, we accelerate tax relief, return power to states, and help older and disabled Americans.… https://t.co/MOQjDMgsci"
844222547143131137,2017-03-21 16:21:54,.@HouseGOP members have made a commitment to life. The time is now to make that commitment a reality. #PassTheBill https://t.co/vSAD1nTKD5
844218927269920768,2017-03-21 16:07:31,"All of us and @POTUS made a promise to #repealANDreplace #Obamacare, and we are going to keep our word. https://t.co/3i71nSs2kD"
844216374641786881,2017-03-21 15:57:23,"RT @HouseGOP: ""We made a promise to #RepealAndReplace this disastrous law, and we will keep our word."" -@SpeakerRyan"
844201946592567296,2017-03-21 15:00:03,.@POTUS is all-in—and we are all-in—to end this Obamacare nightmare once and for all. #PassTheBill https://t.co/D7AVgPiLDl
844194339043659777,2017-03-21 14:29:49,RT @RepWalberg: Will be talking about my bill to help small businesses purchase high quality health care coverage at lower costs for their…
844192780419186689,2017-03-21 14:23:37,"Today, @POTUS visited the Capitol to do what he does best: close the deal. #PassTheBill #RepealAndReplace https://t.co/kAAe9K6WmH"
844192152158724096,2017-03-21 14:21:08,HAPPENING NOW: @HouseGOP press conference on @POTUS visit to the Capitol. https://t.co/7YjC3vJlFd #PassTheBill
844181318598606848,2017-03-21 13:38:05,"We listened to our members, found a consensus, and made improvements to AHCA. That's the legislative process. https://t.co/5qmJjx1fnc"
844177486749618176,2017-03-21 13:22:51,"Right now, @POTUS is addressing @HouseGOP. Tune in for our press conference at 10am ET→ https://t.co/RrNzrxPmYU #PassTheBill"
844169742806110208,2017-03-21 12:52:05,"All of the freedom and control that #Obamacare has taken away, we are giving that back to the people. #PassTheBill https://t.co/jgHmYMuO6Q"
844147630821261313,2017-03-21 11:24:13,"With leadership &amp; support of @POTUS, we are 1 step closer to keeping our promise &amp; ending the #Obamacare nightmare. https://t.co/lk5CA5ziFB"
844143151103336448,2017-03-21 11:06:25,RT @housebudgetGOP: “We are on the verge of doing some big things that we have long believed in” - @SpeakerRyan #RepealANDReplace https://t…
844021707635671040,2017-03-21 03:03:50,RT @WaysandMeansGOP: Tonight we have taken additional action to strengthen the American Health Care Act. Read more here: https://t.co/Mq1cc…
844018359289217024,2017-03-21 02:50:32,RT @HouseCommerce: .@HouseGOP announce updates to strengthen the #AHCA. It’s time to #PassTheBill &gt;&gt; https://t.co/Bk7uMvwERy
844015387784220672,2017-03-21 02:38:44,"RT @FoxNews: .@SpeakerRyan: “We all said we would repeal and replace #Obamacare if you give us a Republican President, House and Senate.” #…"
844013467371782144,2017-03-21 02:31:06,"Working with @POTUS, we have made improvements to the American Health Care Act. https://t.co/lk5CA5ziFB https://t.co/p7Vb8Wz2AF"
843981943050043392,2017-03-21 00:25:50,"RT @RepAndyBiggsAZ: Obamacare has devastated countless individuals and small businesses around the country, including many in my district.…"
843938621245870085,2017-03-20 21:33:41,Bill Clinton may have put it best when he called #Obamacare “the craziest thing in the world.” https://t.co/Ro3rPe6R17
843933449551564805,2017-03-20 21:13:08,RT @KenCalvert: Seven Years of Obamacare Is Enough. Watch the video: https://t.co/pLCJFtPwdV
843913713061105665,2017-03-20 19:54:43,Dina Powell is a terrific choice for @POTUS's national security team. I've worked with Dina and know her to be a dedicated public servant.
843903256405393408,2017-03-20 19:13:09,I’ll be joining @seanhannity on @foxnews at 10 p.m. ET to discuss the American Health Care Act. #RepealAndReplace
843887044128653313,2017-03-20 18:08:44,RT @RepTomGraves: The House is voting Thursday to pass #AHCA. It's time to turn up the volume &amp; help @POTUS rescue Georgia families hurting…
843877258775412736,2017-03-20 17:29:51,"Obamacare=1-size-fits-all system where govt forces you to buy something you don’t want, don’t need, or can’t afford. https://t.co/CHphQJxPJ6"
843864038077546496,2017-03-20 16:37:19,READ → My new op-ed in the @DailyCaller: It's Time To End Obamacare For Good. https://t.co/6G3XUhh48j
843837453848858625,2017-03-20 14:51:41,We made a promise to all Americans to #repealANDreplace Obamacare. And we're going to keep our word.… https://t.co/Rj4f69Wxi4
843813460169375746,2017-03-20 13:16:20,"Judge Gorsuch is a phenomenal nominee for #SCOTUS, and I’m confident @senjudiciary will agree. https://t.co/qQIeFmXE3O"
843801404099743744,2017-03-20 12:28:26,"Q: How is the American Health Care Act better than the 2015 repeal bill?
A: There’s #repealANDreplace
https://t.co/MXAvQVgO1h"
843574479926247424,2017-03-19 21:26:43,Another one heads to President Trump’s desk. This legislation allows states to have drug testing to receive federal… https://t.co/HRKSfvywpX
843533785379491840,2017-03-19 18:45:01,We're going to have a vibrant marketplace where insurance companies compete against each other for your business.… https://t.co/RYhXDSlyzf
843515151882031106,2017-03-19 17:30:58,Find out more about how we’re delivering on our promises to #RepealAndReplace #Obamacare. https://t.co/b0wo3YYI3O
843499143725289473,2017-03-19 16:27:21,"With the American Health Care Act, we make conservative reforms and keep our promise to #RepealANDReplace.https://t.co/MXAvQVgO1h"
843483742287159296,2017-03-19 15:26:09,.@POTUS has helped get us exactly where we need to be for patient-centered reforms with the American Health Care Act https://t.co/CHphQJxPJ6
843455998694166528,2017-03-19 13:35:55,This is legislating. We're listening to our members. We're going through regular order. https://t.co/OvijAnzxDN
843450849158414338,2017-03-19 13:15:27,RT @FoxNewsSunday: We all made a promise to the American people that we would repeal and replace this faulty law and we’re going to make go…
843443989873352707,2017-03-19 12:48:12,RT @FoxNewsSunday: Today on Fox News Sunday: Chris sits down with House Speaker Paul Ryan (R-WI) in an exclusive interview. https://t.co/vG…
843221338730979330,2017-03-18 22:03:28,#OnWisconsin! https://t.co/TlX7IRMSPc
843191082670215169,2017-03-18 20:03:14,"The system is collapsing. Because of #Obamacare, people are being left with little or no choice in their health car… https://t.co/iotXnr6Uyr"
843186075854168066,2017-03-18 19:43:20,"RT @FoxNews: TOMORROW on @FoxNewsSunday, Chris Wallace has an exclusive one-on-one with @SpeakerRyan - Tune in at 2p &amp; 10p ET on Fox News!…"
843172716089917445,2017-03-18 18:50:15,This is the moment. This process is the closest we'll ever get to repealing and replacing #Obamacare. https://t.co/OvijAnzxDN
