id,created_at,text
852991217512181760,2017-04-14 21:05:28,RT @FLOTUS: Looking forward to hosting the annual Easter Egg Roll at the @WhiteHouse on Monday! https://t.co/nz7vucugx9
852939045948805120,2017-04-14 17:38:10,"RT @Reince45: Another successful week:
✔️Justice Gorsuch sworn in
✔️Recognized ATL 1st responders
✔️Reaffirmed commitment to NATO alliance…"
852900601096785926,2017-04-14 15:05:24,Tune in to @POTUS' Weekly Address: https://t.co/4j9T9h2pDG https://t.co/Z6G3apqidJ
852238772259475456,2017-04-12 19:15:31,Join LIVE as @POTUS holds a joint press conference with NATO Secretary General Stoltenberg ➡️… https://t.co/Hb6VakhGLz
851484879535648769,2017-04-10 17:19:49,RT @Reince45: Congratulations to Associate Justice Gorsuch. Yet another major promise kept by @POTUS as this exceptional man is sworn in to…
851484766339813376,2017-04-10 17:19:22,RT @PressSec: Congratulations to #SCOTUS Associate Justice #Gorsuch https://t.co/lJW9oojrxI
851434336381530113,2017-04-10 13:58:59,Watch LIVE as @POTUS attends the swearing-in of the Honorable Neil Gorsuch in the Rose Garden ➡️… https://t.co/T2BZb0gsVy
850402669239963649,2017-04-07 17:39:30,Tune in to @POTUS' Weekly Address: https://t.co/lAyF03KZuF https://t.co/u371LAnQ7u
850401441240031232,2017-04-07 17:34:37,RT @POTUS: Congratulations to an exceptionally qualified and respected judge on his confirmation to the Supreme Court! #SCOTUS https://t.co…
850369966889152515,2017-04-07 15:29:33,RT @VP: Honored to arrive at Capitol to preside in the Senate during the confirmation of Neil Gorsuch to serve as Associate Justice of the…
850351681292390400,2017-04-07 14:16:54,RT @POTUS: Tonight I ordered a targeted military strike...... https://t.co/3nUzrdiGzX
850064917138984961,2017-04-06 19:17:24,"Today, @POTUS and @FLOTUS will welcome the President of the People's Republic of China, Xi Jinping, and Madame Peng… https://t.co/jbe9kBUvPb"
850052707327111168,2017-04-06 18:28:53,RT @VPPressSec: .@VP Mike Pence &amp; @SecondLady to visit US troops and key American allies in Asia-Pacific later this month. https://t.co/NNL…
850045037685735426,2017-04-06 17:58:24,"RT @POTUS: It was an honor to host our American heroes from the @WWP Solider Ride this morning at the @WhiteHouse w/ @FLOTUS, @VP &amp; @Second…"
850043793961357312,2017-04-06 17:53:28,"This morning @POTUS, @FLOTUS, @VP, and @SecondLady welcomed heroes from the @wwp #SoldierRideDC in the East Room:… https://t.co/nSgjFwMFam"
849659538731147266,2017-04-05 16:26:34,"Today @POTUS &amp; @FLOTUS welcomed King Abdullah II &amp; Queen Rania of Jordan to the White House.

Watch the press conf:… https://t.co/a40qq8nxZH"
849297745278115841,2017-04-04 16:28:56,RT @POTUS: Watch live as I deliver remarks at the 2017 NABTU National Legislative Conference: https://t.co/Tvu848FMWU https://t.co/8IjKdQC2…
849277866168778753,2017-04-04 15:09:56,RT @PressSec: At CEO townhall on Unleashing American Business @POTUS highlights burdensome permitting process to build a highway https://t.…
849277582533173248,2017-04-04 15:08:49,RT @POTUS: It was an honor to welcome President Al Sisi of Egypt to the @WhiteHouse as we renew the historic partnership between the U.S. a…
849010328373481472,2017-04-03 21:26:50,"RT @VP: Hello, @instagram! The official account for the VP's office is up. Follow it and stay tuned for more photos -&gt; https://t.co/kWy52D3…"
848908332282904576,2017-04-03 14:41:33,"Today @POTUS welcomes the President of the Arab Republic of Egypt, Abdel Fattah el-Sisi, to the White House. https://t.co/dwIZ8V1bOw"
848706238703693824,2017-04-03 01:18:30,".@POTUS &amp; @FLOTUS are honored to light up the White House this evening for 
#WorldAutismAwarenessDay… https://t.co/ZNnbrZCN7J"
